===== Fri Sep 25 19:43:35 -03 2026 - Derrubando distconc-guilherme-marcela-consumer-1 com docker stop
distconc-guilherme-marcela-consumer-1
Aguardando 10 s para observar o rebalanço...

===== Eventos de rebalanço desde a falha
consumer-28  | 2026-09-25T22:43:38.074013530Z [REBALANÇO] consumer-3c2142d69042 recebeu as partições []
consumer-28  | 2026-09-25T22:43:47.079846994Z [REBALANÇO] consumer-3c2142d69042 perdeu as partições []
consumer-28  | 2026-09-25T22:43:47.132470778Z [REBALANÇO] consumer-3c2142d69042 recebeu as partições []
consumer-1   | 2026-09-25T22:43:35.737738400Z [REBALANÇO] consumer-f713e6b08a14 perdeu as partições []
consumer-1   | 2026-09-25T22:43:47.131323605Z [REBALANÇO] consumer-f713e6b08a14 recebeu as partições [2]
consumer-10  | 2026-09-25T22:43:38.033722553Z [REBALANÇO] consumer-d5c728094122 perdeu as partições [3]
consumer-10  | 2026-09-25T22:43:38.078241581Z [REBALANÇO] consumer-d5c728094122 recebeu as partições [3]
consumer-10  | 2026-09-25T22:43:47.096327919Z [REBALANÇO] consumer-d5c728094122 perdeu as partições [3]
consumer-10  | 2026-09-25T22:43:47.135027443Z [REBALANÇO] consumer-d5c728094122 recebeu as partições [4]
consumer-20  | 2026-09-25T22:43:38.010914158Z [REBALANÇO] consumer-15e3255a254d perdeu as partições []
consumer-20  | 2026-09-25T22:43:38.074666529Z [REBALANÇO] consumer-15e3255a254d recebeu as partições []
consumer-20  | 2026-09-25T22:43:47.080924903Z [REBALANÇO] consumer-15e3255a254d perdeu as partições []
consumer-20  | 2026-09-25T22:43:47.132477180Z [REBALANÇO] consumer-15e3255a254d recebeu as partições []
consumer-4   | 2026-09-25T22:43:38.024066319Z [REBALANÇO] consumer-e70c175a47fd perdeu as partições []
consumer-4   | 2026-09-25T22:43:38.072802482Z [REBALANÇO] consumer-e70c175a47fd recebeu as partições []
consumer-4   | 2026-09-25T22:43:47.024240032Z [REBALANÇO] consumer-e70c175a47fd perdeu as partições []
