kafka1  | 2026-09-25T22:30:01.913226685Z [2026-09-25 22:30:01,912] INFO [SocketServer listenerType=BROKER, nodeId=1] Created data-plane acceptor and processors for endpoint : ListenerName(PLAINTEXT) (kafka.network.SocketServer)
kafka1  | 2026-09-25T22:30:01.914834721Z [2026-09-25 22:30:01,913] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka1  | 2026-09-25T22:30:01.931183490Z [2026-09-25 22:30:01,929] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka1  | 2026-09-25T22:30:01.935747327Z [2026-09-25 22:30:01,934] INFO [SocketServer listenerType=BROKER, nodeId=1] Created data-plane acceptor and processors for endpoint : ListenerName(EXTERNAL) (kafka.network.SocketServer)
kafka1  | 2026-09-25T22:30:01.965556726Z [2026-09-25 22:30:01,965] INFO [broker-1-to-controller-alter-partition-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka1  | 2026-09-25T22:30:01.989196180Z [2026-09-25 22:30:01,986] INFO [broker-1-to-controller-directory-assignments-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka1  | 2026-09-25T22:30:02.039336694Z [2026-09-25 22:30:02,037] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka1  | 2026-09-25T22:30:02.041421542Z [2026-09-25 22:30:02,040] INFO [ExpirationReaper-1-Fetch]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka1  | 2026-09-25T22:30:02.041451234Z [2026-09-25 22:30:02,037] INFO [ExpirationReaper-1-Produce]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka1  | 2026-09-25T22:30:02.044611219Z [2026-09-25 22:30:02,043] INFO [ExpirationReaper-1-DeleteRecords]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka1  | 2026-09-25T22:30:02.048214365Z [2026-09-25 22:30:02,047] INFO [ExpirationReaper-1-ElectLeader]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka1  | 2026-09-25T22:30:02.050623886Z [2026-09-25 22:30:02,048] INFO [ExpirationReaper-1-RemoteFetch]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka1  | 2026-09-25T22:30:02.098836291Z [2026-09-25 22:30:02,098] INFO [ExpirationReaper-1-Heartbeat]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka1  | 2026-09-25T22:30:02.099649558Z [2026-09-25 22:30:02,099] INFO [ExpirationReaper-1-Rebalance]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka1  | 2026-09-25T22:30:02.140609904Z [2026-09-25 22:30:02,140] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka2  | 2026-09-25T22:30:01.264228862Z [2026-09-25 22:30:01,263] INFO Initialized snapshots with IDs SortedSet() from /var/lib/kafka/data/__cluster_metadata-0 (kafka.raft.KafkaMetadataLog$)
kafka2  | 2026-09-25T22:30:01.278995964Z [2026-09-25 22:30:01,278] INFO [raft-expiration-reaper]: Starting (kafka.raft.TimingWheelExpirationService$ExpiredOperationReaper)
kafka2  | 2026-09-25T22:30:01.454706679Z [2026-09-25 22:30:01,454] INFO [RaftManager id=2] Completed transition to Unattached(epoch=0, voters=[1, 2, 3], electionTimeoutMs=1212) from null (org.apache.kafka.raft.QuorumState)
kafka2  | 2026-09-25T22:30:01.457836314Z [2026-09-25 22:30:01,457] INFO [kafka-2-raft-outbound-request-thread]: Starting (org.apache.kafka.raft.KafkaNetworkChannel$SendThread)
kafka2  | 2026-09-25T22:30:01.457875515Z [2026-09-25 22:30:01,457] INFO [kafka-2-raft-io-thread]: Starting (kafka.raft.KafkaRaftManager$RaftIoThread)
kafka2  | 2026-09-25T22:30:01.476455581Z [2026-09-25 22:30:01,476] INFO [MetadataLoader id=2] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka2  | 2026-09-25T22:30:01.480080034Z [2026-09-25 22:30:01,479] INFO [RaftManager id=2] Registered the listener org.apache.kafka.image.loader.MetadataLoader@1621357857 (org.apache.kafka.raft.KafkaRaftClient)
kafka2  | 2026-09-25T22:30:01.480151152Z [2026-09-25 22:30:01,479] INFO [ControllerServer id=2] Waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka2  | 2026-09-25T22:30:01.480158658Z [2026-09-25 22:30:01,479] INFO [ControllerServer id=2] Finished waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka2  | 2026-09-25T22:30:01.527511737Z [2026-09-25 22:30:01,526] INFO [QuorumController id=2] Creating new QuorumController with clusterId MkU3OEVBNTcwNTJENDM2Qk. (org.apache.kafka.controller.QuorumController)
kafka1  | 2026-09-25T22:30:02.180050525Z [2026-09-25 22:30:02,179] INFO Unable to read the broker epoch in /var/lib/kafka/data. (kafka.log.LogManager)
kafka1  | 2026-09-25T22:30:02.182131337Z [2026-09-25 22:30:02,181] INFO [broker-1-to-controller-heartbeat-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka1  | 2026-09-25T22:30:02.194196704Z [2026-09-25 22:30:02,193] INFO [BrokerLifecycleManager id=1] Incarnation kNxjNBydRLGhlVGpN9dUWQ of broker 1 in cluster MkU3OEVBNTcwNTJENDM2Qk is now STARTING. (kafka.server.BrokerLifecycleManager)
kafka1  | 2026-09-25T22:30:02.221499292Z [2026-09-25 22:30:02,221] INFO [ExpirationReaper-1-AlterAcls]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka1  | 2026-09-25T22:30:02.241045091Z [2026-09-25 22:30:02,240] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka1  | 2026-09-25T22:30:02.280451611Z [2026-09-25 22:30:02,279] INFO [BrokerServer id=1] Waiting for the broker metadata publishers to be installed (kafka.server.BrokerServer)
kafka2  | 2026-09-25T22:30:01.527551682Z [2026-09-25 22:30:01,527] INFO [RaftManager id=2] Registered the listener org.apache.kafka.controller.QuorumController$QuorumMetaLogListener@113057231 (org.apache.kafka.raft.KafkaRaftClient)
kafka2  | 2026-09-25T22:30:01.537546139Z [2026-09-25 22:30:01,537] INFO [controller-2-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka2  | 2026-09-25T22:30:01.538727461Z [2026-09-25 22:30:01,538] INFO [controller-2-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka2  | 2026-09-25T22:30:01.540691041Z [2026-09-25 22:30:01,540] INFO [controller-2-ThrottledChannelReaper-Request]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka2  | 2026-09-25T22:30:01.543612111Z [2026-09-25 22:30:01,543] INFO [controller-2-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka2  | 2026-09-25T22:30:01.576931850Z [2026-09-25 22:30:01,576] INFO [MetadataLoader id=2] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
